[2026-04-25 10:46:09] [INFO] ====== Phase 1: Clean __pycache__ ======
[2026-04-25 10:46:10] [INFO]   DEL: \python\core\plugin_system\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\gstack_core\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\automated_testing\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\automated_workflow\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\background_process_manager\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\claude_code\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\continuous_integration\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\dify_platform\__pycache__
[2026-04-25 10:46:15] [INFO]   DEL: \python\MCP_Core\skills\github_api_manager\__pycache__
[2026-04-25 10:46:16] [INFO]   DEL: \python\MCP_Core\skills\github_project_search\__pycache__
[2026-04-25 10:46:16] [INFO]   DEL: \python\MCP_Core\skills\java_guide\__pycache__
[2026-04-25 10:46:16] [INFO]   DEL: \python\MCP_Core\skills\mempalace\__pycache__
[2026-04-25 10:46:16] [INFO]   DEL: \python\MCP_Core\skills\n8n_workflow\__pycache__
[2026-04-25 10:46:16] [INFO]   DEL: \python\MCP_Core\skills\open_webui\__pycache__
[2026-04-25 10:46:16] [INFO]   DEL: \python\MCP_Core\skills\software_location_manager\__pycache__
[2026-04-25 10:46:16] [INFO]   DEL: \python\MCP_Core\workflow\__pycache__
[2026-04-25 10:46:17] [INFO]   DEL: \python\user\plugins\__pycache__
[2026-04-25 10:46:21] [INFO]   DEL: \python\MCP_Core\.pytest_cache
[2026-04-25 10:46:22] [INFO] Cleaned 20 cache directories
[2026-04-25 10:46:22] [INFO] ====== Phase 2: Remove outdated scripts ======
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_all_ext.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_all_ext.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_blockers.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_blockers.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_prompt.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_prompt.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_restriction.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_restriction.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_risk_check.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_risk_check.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_risk_cn.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_risk_cn.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_solo_config.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_solo_config.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_system_prompt.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_system_prompt.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_trae.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_trae.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\find_w_func.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\find_w_func.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\fix_all_blocking.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\fix_all_blocking.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\fix_all_prompts.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\fix_all_prompts.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\fix_everything_final.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\fix_everything_final.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\fix_v3_complete.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\fix_v3_complete.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\full_access_fix.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\full_access_fix.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\full_audit.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\full_audit.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\patch_cline_access.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\patch_cline_access.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\patch_cline_block.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\patch_cline_block.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\patch_tool_descriptions.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\patch_tool_descriptions.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\verify_one.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\verify_one.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\verify_patch.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\verify_patch.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\search_all_settings.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\search_all_settings.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\search_sandbox_config.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\search_sandbox_config.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\search_trae_core.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\search_trae_core.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\search_workbench.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\search_workbench.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\ultimate_diagnose.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\ultimate_diagnose.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\user\plugins\final_check.py
[2026-04-25 10:46:22] [INFO]   DEL: \python\storage\mcp\BC\final_check.py
